"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
XLY120/066/22RC,Contract,"FCDO Services",Awarded,2024-05-30T10:38:02+01:00,"Provision of Career Planning and Conversations Learning Programme","Provision of Career Planning and Conversations Learning Programme",,"MK19 7BH",,"80500000 ","Regina Cliff-Afemari",regina.cliff-afemari@fco.gov.uk,"1 St Floor Building 71",,"MILTON KEYNES",MK197BH,England,019087451417,,,,,19/10/2022,18/10/2026,26/09/2022,NO,,Yes,Yes,No,Services,0,,17/10/2022,60000,"[Antoinette Oglethorpe|Cranfield Innovation Centre, 
Cranfield University Technology Park, 
Bedfordshire, 
MK43 0BT|NONE_OTHER||Yes|Yes]",,19/10/2022,18/10/2026,"OpenNonOJEU ",,12:00
GATC/PCR/AWARD/0008,Contract,"Great Aycliffe Town Council",Awarded,2024-04-08T16:12:13+01:00,"Council Offices Roof Replacement","Flat roof replacement at the Council Offices.  Quotes were initially received from 3 suppliers, it was then agreed at Policy & Resources Committee in March 2022 that further quotes should be sought and the specification was to include insulation. At the Policy & Resources Committee meeting  26th September it was decided that taking into consideration the additional quotes the contract be awarded to Lord Roofing, who supplied the lowest price for an insulated replacement roof.",,"DL5 6QF",,"44112400 ","Tracey Woodhead",tracey.woodhead@great-aycliffe.gov.uk,"School Aycliffe",,"NEWTON AYCLIFFE","DL5 6QF",England,01325300700,www.great-aycliffe.gov.uk,,,,12/10/2022,21/12/2022,11/10/2022,NO,,Yes,No,No,Works,55560,,11/10/2022,55560,"[LORD ROOFING AND GROUNDWORKS|Unit 1B Dean and Chapter Industrial Estate
Ferryhill
County Durham
DL17 8LH|NONE_OTHER||Yes|No]",,12/10/2022,21/12/2022,"OpenNonOJEU ",,00:00
NNC00000055,Contract,"North Northamptonshire Council",Awarded,2024-04-04T16:02:38+01:00,"Vending Contract for Lodge Park Sports Centre and Corby East Midlands International Pool, North Northants Council","Part of North Northants Council is seeking a suitably qualified and experienced Supplier to install ten (10) vending machines on a fully managed service basis at Lodge Park Sports Centre (seven (7) machines) and Corby East Midlands International Pool (three (3) machines).

Lodge Park Sports Centre and Corby East Midlands International Pool are situated in Corby, Northamptonshire and operated by North Northamptonshire Council. Both facilities are well used by the public, with thousands of visitors per year. There is currently no vending provision at either site, as the former vending provision contract has expired.

The Council is seeking a fully managed service, to include:
supply of stock; restocking; and repair and maintenance of machines as and when required.

The Supplier must provide Monthly accounting reports, for both Lodge Park Sports Centre and Corby East Midlands International Pool, to evidence the income gained from the machines. A profit-sharing arrangement is to be agreed. This could be either a percentage of sales or a rebate scheme where prices could be set by the Council, over and above the costs set by the Supplier.

This contract is to run for a minimum of three (3) years, with the option for two (2) further one (1) year extensions, in essence a maximum five (5) year contract.

Applications must be made using the e-QUOTATION FORM and returned to Kevin.Williams@northnorthants.gov.uk by 12 noon on Friday 16th September 2022.",,"NN17 2SG",,"15000000 ","Kevin Williams",kevin.williams@northnorthants.gov.uk,"Lodge Park Sports Centre, Shetland Way",,CORBY,"NN17 2SG",England,"01536 400033",,"Specification - Vending Service For Leisure Facilities In Corby 180822.pdf Contract (DRAFT) - Vending Service For Leisure Facilities In Corby - 180822.pdf e-Quotation Form - Vending Service For Leisure Facilities In Corby (KW140922).docx ",,,17/10/2022,16/10/2027,16/09/2022,NO,,Yes,Yes,No,Products,5000,,17/10/2022,0,"[North Northamptonshire Council|Corby Cube 
George Street|NONE_OTHER||No|No]",,17/10/2022,16/10/2027,"CompetitiveQuotationNonOJEU ",,12:00
tender_314926/1326448,Contract,"UK SBS",Awarded,2024-03-15T12:16:07Z,"UKSA22_0017 - Disaster Charter Strategic Support Contract","***** THIS IS AN AWARD NOTICE, NOT A CALL FOR COMPETITION *****

This procurement is being concluded following a competitive procurement exercise.

Brief Description of Requirement

The UK has been a Charter member since 2005 and wishes to continue to play an active leadership role. UKSA has a requirement for specialist strategic support to ensure the Charter is performing effectively, interfacing effectively with existing and any potential new data providers and users and ensuring there is optimal awareness and uptake of the Charter within the UK Government and with selected overseas partners.",,,"Any region","73000000 ",,professionalservices@uksbs.co.uk,"Polaris House",,Swindon,"SN2 1FF",England,,,,,,01/11/2022,31/10/2025,22/09/2022,NO,,Yes,No,No,Services,0,,11/10/2022,454038,"[Ordinal Space Ltd|The Engine House, 77 Station Road, Petersfield, GU32 3FQ|NONE_OTHER||Yes|No]",,01/11/2022,31/10/2025,"OpenOJEU ",,14:00
NNCCG001,Contract,"North Northamptonshire Council",Awarded,2024-02-29T09:44:16Z,"Research grant to evaluate a community development programme","Public Health have a research grant funding opportunity for an academic research partner to work with them to evaluate an innovative new programme using community approaches to address health inequalities and to build local research capacity.

The grant will be for two years initially, starting as soon as possible, and a review will take place to inform a potential two years of funding.

Please submit your expression of interest which includes:
•	A detailed description of how you propose to meet the requirements and achieve the required deliverables and outputs
•	A project plan 
•	A detailed budget

Applications must be submitted by close of play 4 July 2022. Applicants will receive feedback in the week beginning the 11th July 2022.

If you have any questions about the application, please contact the public health team:
•	Chloe Gay: chloe.gay@northnorthants.gov.uk  07894 299732",,"NN1 1ED",,"73300000 ","Chloe Gay",chloe.gay@northnorthants.gov.uk,"The Cube,George Street",,CORBY,NN168TL,England,07795807118,,"Well Northants Evaluation EOI FINAL.docx ",,,01/08/2022,31/07/2024,04/07/2022,NO,,No,No,No,Services,100000,200000,16/10/2022,89526,"[Northampton University|Newton Building, Northampton|NONE_OTHER||Yes|No]",,16/11/2022,30/09/2024,"Other Grant application",,17:00
"Provision of Print & Design Services",Contract,"Keele University",Awarded,2024-02-21T12:08:12Z,KU/391/LF/CB/2022,"Call-Off under Crescent Purchasing Consortium  -Print & Design Framework. Ref: CPC /RB/02/2021 Lot 1 print & Design",,"ST5 5NB",,"22458000 ","Leanne Fryer",l.fryer@keele.ac.uk,Keele,,NEWCASTLE,ST55BG,England,"01782 733787",,,,,12/10/2022,11/10/2024,10/10/2022,NO,,Yes,No,No,Services,150000,,12/10/2022,150000,"[Hickling and Squires (UK) Ltd.|Unit One Dunsil Road, Moorgreen Industrial Park, Newthorpe, Nottingham, United Kingdom, NG16 3TN|COMPANIES_HOUSE|05272593|No|No]",,12/10/2022,11/10/2024,"CallOffFromFrameworkAgreement ",,12:00
SOMRTD001-DN620727-77818515,Contract,"Somerset Council",Awarded,2024-02-05T14:13:31Z,"Somerset Integrated Domestic Abuse Service","Somerset Integrated Domestic Abuse Service Lots 1, 2, 3 and 5",,,England,"85000000 ","Tracie Bosher",tracie.bosher@somerset.gov.uk,"County Hall",,Taunton,"TA1 4DY","United Kingdom","'+44 1823359147",https://www.supplyingthesouthwest.org.uk,,"https://procontract.due-north.com/Advert?advertId=f3562c57-45fd-ec11-8116-005056b64545 ",,01/04/2023,31/03/2028,12/08/2022,NO,,No,No,No,Services,9500000,9500000,17/10/2022,9500000,"[The YOU Trust|PO16 8UX|NONE||No|No][Julian House|BA1 3AU|NONE||Yes|Yes]",,01/04/2023,31/03/2028,"Open ",,12:00
QX84002,Contract,"Transport for London",Awarded,2023-02-14T11:13:26Z,"Provision of bus service - Route 634","Provision of bus service route 634 for 7 years. Please note, costs posted on Contracts Finder sometimes differ from those on the internet, this is due to post award negotiations.",,,London,"60112000 ","Richard Rampton",contracts.tendering@tfl.gov.uk,"197 Blackfriars Road",,LONDON,"SE1 8NJ",England,,www.tfl.gov.uk,"QX84002 - Route Agreement signature redacted.pdf QX84002 - Schedules.pdf ",,,02/09/2023,30/08/2030,16/08/2022,NO,,Yes,Yes,No,Services,149500,249377,12/10/2022,110500,"[Metroline|ComfortDelGro House
329 Edgware Road
London
NW2 6JP|NONE_OTHER||No|No]",,02/09/2023,30/08/2030,"CompetitiveProcedureWithNegotiationOJEU ",,12:00
QX84001,Contract,"Transport for London",Awarded,2023-02-14T11:06:57Z,"Provision of bus service - Route 626","Provision of bus service route 626 for 7 years. Please note, costs posted on Contracts Finder sometimes differ from those on the internet, this is due to post award negotiations.",,,London,"60112000 ","Richard Rampton",contracts.tendering@tfl.gov.uk,"197 Blackfriars Road",,LONDON,"SE1 8NJ",England,,www.tfl.gov.uk,"QX84001 - Route Agreement signature redacted.pdf QX84001 - Schedules.pdf ",,,02/09/2023,30/08/2030,16/08/2022,NO,,Yes,Yes,No,Services,573500,573501,12/10/2022,420000,"[Metroline|ComfortDelGro House
329 Edgware Road
London
NW2 6JP|NONE_OTHER||No|No]",,02/09/2023,30/08/2030,"CompetitiveProcedureWithNegotiationOJEU ",,12:00
QC83901,Contract,"Transport for London",Awarded,2023-02-14T10:49:41Z,"Provision of bus service - Route 203","Provision of bus service route 203 for 7 years. Please note, cost posted on Contracts Finder sometimes differ from those on the internet, this is due to post award negotiations.",,,London,"60112000 ","Richard Rampton",contracts.tendering@tfl.gov.uk,"197 Blackfriars Road",,LONDON,"SE1 8NJ",England,,www.tfl.gov.uk,"QC83901 - Route Agreement signature redacted.pdf QC83901 - Schedules.pdf ",,,02/09/2023,30/08/2030,16/08/2022,NO,,Yes,Yes,No,Services,2446000,2671525,12/10/2022,2195196,"[London United|Garrick House
Stamford Brook Bus Garage
74 Chiswick High Road
London
W4 1SY|NONE_OTHER||No|No]",,02/09/2023,30/08/2030,"CompetitiveProcedureWithNegotiationOJEU ",,12:00
