"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
NMC-0513,Contract,"Nursing And Midwifery Council",Awarded,2022-10-26T14:51:43+01:00,"Development and associated support  Services for the NMC","Support the goals of Modernisation of Technology Services for the NMC - notice updated to include additional work required under this contract.",,"W1B 1PZ",,"72227000 72230000 ","Jaina Pankhania",jaina.pankhania@nmc-uk.org,"23 Portland Place",,LONDON,W1B1PZ,England,02076815075,,,,,01/08/2022,31/07/2024,30/07/2022,NO,,No,No,No,Services,2183218,,30/07/2022,2183218,"[FORTESIUM LIMITED|The Old Church 32 Byron Hill Road
HARROW
Middlesex
HA2 0HY
GB|COMPANIES_HOUSE|07196701|Yes|No]",,01/08/2022,31/07/2024,"CallOffFromFrameworkAgreement ",,12:00
tender_302142/1148474,Contract,"Ministry of Justice",Awarded,2022-11-21T15:34:53Z,"Interventions Manager 2022","Interventions Manager SaaS tool for case management, scheduling and resource management",,,"Any region","48000000 ",,Imran.Yasin@justice.gov.uk,"102 Petty France",,London,"SW1H 9AJ",England,,,"REDACTED con_21369  Interventions Manager 2022 G-Cloud-12-Call-Off-Contract v.1.1.pdf ",,,18/06/2022,17/06/2026,20/05/2022,NO,,Yes,Yes,No,Products,2706000,,15/11/2022,5412000,"[NEC Software Solutions UK Limited|1st Floor, Imex Centre, 575-599 Maxted Road, Hemel Hempstead, Hertfordshire, HP2 7DX, United Kingdom|COMPANIES_HOUSE|00968498|No|No]",,18/06/2022,17/06/2026,"CallOffFromFrameworkAgreement ",,15:00
JB/ICT/LCC/22/1713,Contract,"Lancashire County Council",Awarded,2022-11-29T11:05:54Z,"LPS ICT - Care Market Management System (long term segregation care)","Provision of an end to end care market management solution. Call-Off via Crown Commercial Services (CCS) G-Cloud 12.

In May 2025, LCC modified this contract to include the implementation of an electronic care monitoring, management and scheduling module for Intermediate Care Services. The modification does not change the overall nature of the original contract and is not substantial.",,,"North West","48780000 ","James Bennett",digitalprocurement@lancashire.gov.uk,"PO Box 100, County Hall","County Hall",Preston,"PR1 0LD",England,"01772 539970",www.lancashire.gov.uk,,,,01/12/2022,30/11/2025,24/11/2022,NO,,No,No,No,Services,1385670.08,,24/11/2022,1385670.08,"[Access UK Ltd|The Old School,
School Lane,
Stratford St Mary,
Colchester,
Essex, CO7 6LZ|NONE_OTHER||No|No]",,01/12/2022,30/11/2025,"CallOffFromFrameworkAgreement ",,10:00
tender_295009/1101679,Contract,"Ministry of Justice",Awarded,2022-09-02T11:51:18+01:00,"HMPPS Community Payback- ETE Portal","The contract is for provision of Meganexus to deliver unpaid work training portal. The solution will be accessed by People on Probation and Probation Staff. 
The solution will deliver: 
-	Personal profiles for each PoP.
-	PoP can log in and complete assigned or select new, relevant courses:
-	Records the times taken for course.
-	Course completion certificates, or other qualifications, emailed as an automated process.
-	Reporting - a range of performance reports and analytics can be produced.
-	Search.
-	Data Management.
-	Security (End User)
-	Auditing",,,"Any region","48613000 80500000 ",,umair.dildar@justice.gov.uk,"10 South Colonnade, Canary Wharf",,London,"E14 4PU",England,,,"Redacted Con_21094 ETE.portal.G-Cloud-12-Call-Off-Contract v4.docx TR (002).pdf ",,,15/08/2022,20/08/2026,15/07/2022,NO,,Yes,Yes,No,Services,1261930.2,,18/07/2022,630965,"[MegaNexus Limited|Tavistock House  4th Floor, North West Wing  Tavistock Square  London  WC1H 9JZ|COMPANIES_HOUSE|03606348|No|No]",,15/08/2022,20/08/2026,"CallOffFromFrameworkAgreement ",,12:00
RM6248,Contract,"Crown Commercial Service",Awarded,2022-12-01T11:41:23Z,"Payment Solutions 2","Crown Commercial Service (CCS) has put in place an agreement for the provision of Payment Solutions to be utilised by Central Government Departments and all other UK Public Sector bodies, including local authorities, health, police, fire and rescue, education and devolved administrations.

The commercial agreement establishes a multi-supplier, multi-lot Framework Contract for the provision of Procurement Card, Prepaid Card and Voucher solutions across UK, Europe and Worldwide.

The Framework has been spilt into 3 lots based on the solutions required.
Lot 1 - will provide for the provision and maintenance of Procurement Cards which will enable the purchase of common goods and services.
Lot 2 - will provide for the provision and maintenance of Prepaid Cards.
Lot 3 - will provide for the provision of fully managed Closed Looped Voucher schemes.",,,"United Kingdom","66000000 ","The Minister for the Cabinet Office acting through Crown Commercial Service",supplier@crowncommercial.gov.uk,"9th Floor, The Capital, Old Hall Street Liverpool",,Liverpool,L39PP,England,"'+44 3450103503",,"REDACTED FRAMEWORK AGREEMENT.zip Successful Supplier Information.xlsx RM6248 Customer List.docx GWG T140-Transparency Agenda-How CCS Approaches Redaction v1.0.docx ",,"This framework was put in place with an initial duration of 3 years plus an optional extension period of 1 year (3 + 1).  Please note that the 1 year extension will be utilised and the end date of this framework is confirmed as being 31/10/2026",01/11/2022,31/10/2026,09/06/2022,NO,,Yes,No,No,Services,15000000000,,01/11/2022,15000000000,"[A list of successful suppliers can be found in the attachments a|A list of successful suppliers can be found in the attachments area|COMPANIES_HOUSE|000000000|Yes|No]",,01/11/2022,31/10/2026,"OpenOJEU ",,15:00
tender_267907/1049149,Contract,"Pension Protection Fund",Awarded,2022-03-10T09:29:31Z,"Economic Scenario Model (ESM)","Update 21.05.24 - Section 1 contract value (ex VAT) updated in line with the now known expected spend on additional modules. The scope for additional modules and subsequent spend were included within the Invitation to Tender and Award Notices. 

The PPF procured a licence and associated services for an Economic Scenario Model (ESM) for use in assumption-generation for a range of medium and long-term modelling. The solution provides a real-world calibration of an appropriate timeframe, including outputs for a sufficiently broad range of asset classes given the investment strategy of the PPF and the pension schemes it protects. The outputs also facilitate the projection of the liabilities of the PPF and those of the pension schemes it protects.

The contract awarded is for an initial duration of 60 months, with options to extend for up to three further 12 month terms. If the extensions are all exercised the total contract duration will be 96 months. If all extensions are executed the total final value is estimated to be £1,115,410.02 + VAT.

The PPF is a continuously developing business within a changing market and it is envisaged that there will be a future requirement for further components, modules or packages within the economic scenario model solution, including bespoke developments within the system which are reserved for the PPF&apos;s use only. It is fully envisaged that these components and modules will be developed over the life of the contract not only to reflect changes in the market, but also the PPF&apos;s strategy, including, but not limited to, changes in approach to the amount of business retained or brought in-house, the nature and size of the PPF&apos;s assets and liabilities and the PPF&apos;s approach to risk and return. This may require additional components and modules not currently listed, or development of the services themselves or existing services provided to the PPF which support or are supported by these services. It is further envisaged that additional software, including licences, may need to be developed to enhance the services, to increase efficiency and streamline the services, to increase the availability of the services in line with changes in the market, anticipated changes to the PPF&apos;s strategy over the life of the contract and changes in the nature and size of the PPF&apos;s assets and liabilities or to develop other services that support or are supported by these services. These additional services, systems, software and licences may result in price revision of the original contract and/or may significantly increase the fees paid in relation to these services over the life of the contract. The PPF makes no guarantee as to the nature and extent of such additional services, systems, software or licences. Note that the contract value stated above is the estimated value of the contract assuming all extension options are taken but does not include the cost of all potential additional services, systems, software and licences.",,"CR0 2NA",London,"48000000 ",,commercialservices@ppf.co.uk,"Renaissance, 12 Dingwall Road",,Croydon,"CR0 2NA",England,,https://www.ppf.co.uk,,,,31/01/2022,30/01/2027,14/05/2021,YES,tender_267907/951191,Yes,Yes,No,Products,1534253,,27/08/2021,1534253,"[Ortec Finance Ltd|Tower Bridge House, St Katharine&apos;s Way, London, E1W 1DD|COMPANIES_HOUSE|6410807|No|No]",,31/01/2022,30/01/2027,"OpenOJEU ",,13:00
"CS22428 - Senior Workstream Lead",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2022-10-31T11:03:50Z,"CS22428 - Senior Workstream Lead","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Senior Workstream Lead. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN2 1FL",,"79620000 ",,coreservices@uksbs.co.uk,"Polaris House,North Star Avenue",,SWINDON,SN21FF,England,,,"CS22428 - Contract (Redacted).pdf CS22428-001 - Contract (Redacted).pdf ",,,03/10/2022,31/07/2025,29/09/2022,NO,,No,No,No,Services,440420.1,,30/09/2022,440420.1,"[HAYS SPECIALIST RECRUITMENT LIMITED|2Nd Floor Alan House
NW1 2AF
GB|COMPANIES_HOUSE|00975677|No|No]",,03/10/2022,31/07/2025,"CallOffFromFrameworkAgreement ",,16:00
C-2553,Contract,"National Audit Office",Awarded,2022-07-15T11:28:09+01:00,"2022 Main Laptop refresh","The supply of laptops contract with ACS Systems UK LIMITED had a 4 months contract duration that commenced on Friday 24th June 2022 until Monday 31st October 2022 with optional extension period of 3 years until Friday 24th October 2025.

The contract was extended with ACS Systems UK LIMITED for 2 years and 9 months from Tuesday 1st November 2022 until Tuesday 28th January 2025.

As of May 2024, the contract was varied by £199,034.40 inclusive of VAT to purchase  additional laptops.",,"SW1W 9SP",,"30200000 ","Tania Khan",NAO.Procurement@nao.org.uk,"157-197 Buckingham Palace Road",,LONDON,SW1W9SP,England,02077987000,,,,,24/06/2022,28/01/2025,01/02/2022,NO,,Yes,No,No,Products,1800000,2223780,17/02/2022,2223780,"[ACS SYSTEMS UK LIMITED|A C S House,Oxwich Close, Brackmills Industrial Estate
NORTHAMPTON
Northamptonshire
NN4 7BH
GB|COMPANIES_HOUSE|02988060|Yes|No]",,24/06/2022,28/01/2025,"CallOffFromFrameworkAgreement ",,17:00
CCCC22A09.,Contract,"Crown Commercial Service",Awarded,2022-08-15T15:14:57+01:00,"Provision of OGP OPE Programme","The OPE Programme is a pioneering initiative delivered by OGP in collaboration with the LGA. The programme channels funding and practical and technical support through local authorities to deliver collaborative property-focused projects with central government and other partners. The OGP and LGA collaboration is critical to the programme's credibility, influence and impact with local government, and supports the development of central government policy that tackles cross-public sector property issues.",,,London,"72224000 ","Crown Commercial Service on behalf of Cabinet Office : Cabinet Office",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCCC22A09 - Award Letter v1.1 redacted.docx CCCC22A09 Attachment 5 - Terms and Conditions v1.0 redacted.docx ",,,01/07/2022,30/06/2025,30/06/2022,NO,,No,No,No,Services,5337210,,09/08/2022,5683872,"[IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT|Smith Square SW1P 3HZ London England|NONE||Yes|No]",,09/08/2022,30/06/2025,"Other Call-Off",,00:00
HMLR700613,Contract,"HM Land Registry",Awarded,2022-06-21T14:14:40+01:00,"Gateway SMS Messaging Service","Year 1 extension taken up - amended expiry date to reflect 

Gateway SMS Messaging Service purchased under CCS Framework GCloud 12, lot no. 2 (Cloud software)",,,"England,Wales","64212100 ","Jessie Wellington",Jessie.Wellington@landregistry.gov.uk,"HM Land Registry","PO Box 292",PLYMOUTH,"PL5 9BY",England,07828929015,,,,,01/07/2022,30/06/2024,25/01/2022,NO,,No,No,No,Services,47000,150000,17/06/2022,150000,"[INFOBIP LTD|5th Floor 
35-38 New Bridge Street,
LONDON,
EC4V 6BW|NONE_OTHER||No|No]",,01/07/2022,30/06/2025,"CallOffFromFrameworkAgreement ",,17:00
